Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Shawn Bradley,17:00,1,2,0.5,0,0,0,0,0,0,1,4,5,1,0,3,0,4,2,2,DAL,20010421
Mark Bryant,18:00,1,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,3,2,12,DAL,20010421
Calvin Booth,13:00,1,2,0.5,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,-15,DAL,20010421
Howard Eisley,12:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,DAL,20010421
Bryon Russell,44:00:00,5,15,0.333,2,5,0.4,0,0,0,1,11,12,1,2,0,0,2,12,5,UTA,20010421
Karl Malone,41:00:00,8,23,0.348,0,0,0,10,13,0.769,1,5,6,4,2,1,7,1,26,9,UTA,20010421
John Stockton,37:00:00,3,7,0.429,0,2,0,6,7,0.857,3,3,6,18,1,2,2,4,12,19,UTA,20010421
Donyell Marshall,37:00:00,5,13,0.385,0,1,0,2,3,0.667,5,5,10,1,1,1,1,1,12,-2,UTA,20010421
Olden Polynice,15:00,4,5,0.8,0,0,0,0,0,0,5,0,5,0,1,0,2,4,8,15,UTA,20010421
Danny Manning,20:00,5,7,0.714,1,1,1,1,4,0.25,1,2,3,0,0,0,2,2,12,-6,UTA,20010421
Jacque Vaughn,19:00,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,-6,UTA,20010421
Greg Ostertag,14:00,1,3,0.333,0,0,0,0,0,0,3,1,4,0,0,0,0,3,2,-14,UTA,20010421
John Starks,13:00,2,5,0.4,0,1,0,0,0,0,0,1,1,0,0,1,1,2,4,-10,UTA,20010421
Rasheed Wallace,44:00:00,9,18,0.5,2,5,0.4,4,8,0.5,2,5,7,1,0,2,1,2,24,-12,POR,20010422
Scottie Pippen,40:00:00,5,10,0.5,1,4,0.25,2,3,0.667,0,6,6,4,1,0,3,6,13,-22,POR,20010422
Steve Smith,40:00:00,3,8,0.375,1,4,0.25,3,3,1,1,3,4,0,1,1,2,0,10,-15,POR,20010422
Damon Stoudamire,35:00:00,6,15,0.4,1,3,0.333,5,5,1,1,3,4,4,1,0,2,2,18,-17,POR,20010422
Arvydas Sabonis,31:00:00,3,9,0.333,0,2,0,5,6,0.833,3,6,9,4,0,2,1,5,11,7,POR,20010422
Stacey Augmon,16:00,4,6,0.667,0,0,0,1,1,1,0,0,0,2,1,0,1,1,9,3,POR,20010422
