Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Sun, Apr 27, 2003",7:30 PM,San Antonio Spurs,84,Phoenix Suns,86,Box Score,,
"Sun, Apr 27, 2003",5:00 PM,Dallas Mavericks,79,Portland Trail Blazers,98,Box Score,,
"Mon, Apr 28, 2003",7:00 PM,Philadelphia 76ers,96,New Orleans Hornets,87,Box Score,,
"Mon, Apr 28, 2003",8:30 PM,Sacramento Kings,99,Utah Jazz,82,Box Score,,
"Tue, Apr 29, 2003",8:30 PM,Boston Celtics,88,Indiana Pacers,93,Box Score,OT,
"Tue, Apr 29, 2003",8:30 PM,Los Angeles Lakers,120,Minnesota Timberwolves,90,Box Score,,
"Tue, Apr 29, 2003",7:00 PM,Milwaukee Bucks,82,New Jersey Nets,89,Box Score,,
"Tue, Apr 29, 2003",6:00 PM,Phoenix Suns,82,San Antonio Spurs,94,Box Score,,
"Wed, Apr 30, 2003",7:30 PM,Portland Trail Blazers,103,Dallas Mavericks,99,Box Score,,
"Wed, Apr 30, 2003",8:00 PM,Orlando Magic,67,Detroit Pistons,98,Box Score,,
"Wed, Apr 30, 2003",6:00 PM,New Orleans Hornets,93,Philadelphia 76ers,91,Box Score,,
"Wed, Apr 30, 2003",8:00 PM,Utah Jazz,91,Sacramento Kings,111,Box Score,,
"Thu, May 1, 2003",7:00 PM,Indiana Pacers,90,Boston Celtics,110,Box Score,,
"Thu, May 1, 2003",7:30 PM,Minnesota Timberwolves,85,Los Angeles Lakers,101,Box Score,,
"Thu, May 1, 2003",7:00 PM,New Jersey Nets,113,Milwaukee Bucks,101,Box Score,,
"Thu, May 1, 2003",6:30 PM,San Antonio Spurs,87,Phoenix Suns,85,Box Score,,
"Fri, May 2, 2003",8:30 PM,Philadelphia 76ers,107,New Orleans Hornets,103,Box Score,,
"Fri, May 2, 2003",7:00 PM,Detroit Pistons,103,Orlando Magic,88,Box Score,,
"Fri, May 2, 2003",7:30 PM,Dallas Mavericks,103,Portland Trail Blazers,125,Box Score,,
"Sun, May 4, 2003",2:30 PM,Portland Trail Blazers,95,Dallas Mavericks,107,Box Score,,
"Sun, May 4, 2003",12:30 PM,Orlando Magic,93,Detroit Pistons,108,Box Score,,
"Mon, May 5, 2003",7:00 PM,Boston Celtics,93,New Jersey Nets,97,Box Score,,
"Mon, May 5, 2003",8:30 PM,Los Angeles Lakers,82,San Antonio Spurs,87,Box Score,,
"Tue, May 6, 2003",8:00 PM,Sacramento Kings,124,Dallas Mavericks,113,Box Score,,
"Tue, May 6, 2003",8:00 PM,Philadelphia 76ers,87,Detroit Pistons,98,Box Score,,
"Wed, May 7, 2003",7:00 PM,Boston Celtics,95,New Jersey Nets,104,Box Score,,
"Wed, May 7, 2003",8:30 PM,Los Angeles Lakers,95,San Antonio Spurs,114,Box Score,,
"Thu, May 8, 2003",8:30 PM,Sacramento Kings,110,Dallas Mavericks,132,Box Score,,
"Thu, May 8, 2003",7:00 PM,Philadelphia 76ers,97,Detroit Pistons,104,Box Score,OT,
"Fri, May 9, 2003",8:00 PM,New Jersey Nets,94,Boston Celtics,76,Box Score,,
"Fri, May 9, 2003",7:30 PM,San Antonio Spurs,95,Los Angeles Lakers,110,Box Score,,
"Sat, May 10, 2003",7:00 PM,Detroit Pistons,83,Philadelphia 76ers,93,Box Score,,
"Sat, May 10, 2003",6:30 PM,Dallas Mavericks,141,Sacramento Kings,137,Box Score,2OT,
"Sun, May 11, 2003",12:30 PM,San Antonio Spurs,95,Los Angeles Lakers,99,Box Score,,
"Sun, May 11, 2003",8:00 PM,Detroit Pistons,82,Philadelphia 76ers,95,Box Score,,
"Sun, May 11, 2003",7:30 PM,Dallas Mavericks,83,Sacramento Kings,99,Box Score,,
"Mon, May 12, 2003",8:00 PM,New Jersey Nets,110,Boston Celtics,101,Box Score,2OT,
"Tue, May 13, 2003",6:00 PM,Sacramento Kings,93,Dallas Mavericks,112,Box Score,,
"Tue, May 13, 2003",8:30 PM,Los Angeles Lakers,94,San Antonio Spurs,96,Box Score,,
"Wed, May 14, 2003",8:00 PM,Philadelphia 76ers,77,Detroit Pistons,78,Box Score,,
"Thu, May 15, 2003",5:00 PM,San Antonio Spurs,110,Los Angeles Lakers,82,Box Score,,
"Thu, May 15, 2003",7:30 PM,Dallas Mavericks,109,Sacramento Kings,115,Box Score,,
"Fri, May 16, 2003",7:30 PM,Detroit Pistons,93,Philadelphia 76ers,89,Box Score,OT,
"Sat, May 17, 2003",7:00 PM,Sacramento Kings,99,Dallas Mavericks,112,Box Score,,
"Sun, May 18, 2003",1:30 PM,New Jersey Nets,76,Detroit Pistons,74,Box Score,,
"Mon, May 19, 2003",8:30 PM,Dallas Mavericks,113,San Antonio Spurs,110,Box Score,,
"Tue, May 20, 2003",8:00 PM,New Jersey Nets,88,Detroit Pistons,86,Box Score,,
"Wed, May 21, 2003",7:30 PM,Dallas Mavericks,106,San Antonio Spurs,119,Box Score,,
"Thu, May 22, 2003",8:30 PM,Detroit Pistons,85,New Jersey Nets,97,Box Score,,
"Fri, May 23, 2003",8:00 PM,San Antonio Spurs,96,Dallas Mavericks,83,Box Score,,
"Sat, May 24, 2003",8:00 PM,Detroit Pistons,82,New Jersey Nets,102,Box Score,,
"Sun, May 25, 2003",7:30 PM,San Antonio Spurs,102,Dallas Mavericks,95,Box Score,,
"Tue, May 27, 2003",8:00 PM,Dallas Mavericks,103,San Antonio Spurs,91,Box Score,,
"Thu, May 29, 2003",8:00 PM,San Antonio Spurs,90,Dallas Mavericks,78,Box Score,,
"Wed, Jun 4, 2003",7:30 PM,New Jersey Nets,89,San Antonio Spurs,101,Box Score,,
"Fri, Jun 6, 2003",7:30 PM,New Jersey Nets,87,San Antonio Spurs,85,Box Score,,
"Sun, Jun 8, 2003",8:30 PM,San Antonio Spurs,84,New Jersey Nets,79,Box Score,,
"Wed, Jun 11, 2003",8:30 PM,San Antonio Spurs,76,New Jersey Nets,77,Box Score,,
"Fri, Jun 13, 2003",8:30 PM,San Antonio Spurs,93,New Jersey Nets,83,Box Score,,
"Sun, Jun 15, 2003",7:30 PM,New Jersey Nets,77,San Antonio Spurs,88,Box Score,,
"Sat, Apr 17, 2004",1:00 PM,Boston Celtics,88,Indiana Pacers,104,Box Score,,
"Sat, Apr 17, 2004",7:30 PM,Houston Rockets,71,Los Angeles Lakers,72,Box Score,,
"Sat, Apr 17, 2004",4:30 PM,New York Knicks,83,New Jersey Nets,107,Box Score,,
