Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes,,,,
"Sat, Nov 25, 2000",7:30 PM,Atlanta Hawks,92,Orlando Magic,114,Box Score,,,,,,
"Sat, Nov 25, 2000",7:00 PM,New Jersey Nets,84,Portland Trail Blazers,86,Box Score,,,,,,
"Sat, Nov 25, 2000",7:30 PM,Seattle SuperSonics,101,Sacramento Kings,125,Box Score,,,,,,
"Sat, Nov 25, 2000",7:30 PM,Philadelphia 76ers,76,San Antonio Spurs,96,Box Score,,,,,,
"Sat, Nov 25, 2000",8:00 PM,Milwaukee Bucks,100,Washington Wizards,107,Box Score,,,,,,
"Sun, Nov 26, 2000",12:30 PM,Vancouver Grizzlies,98,Boston Celtics,87,Box Score,,,,,,
"Sun, Nov 26, 2000",7:00 PM,Utah Jazz,94,Detroit Pistons,79,Box Score,,,,,,
"Sun, Nov 26, 2000",3:00 PM,Chicago Bulls,89,Toronto Raptors,101,Box Score,,,,,,
"Mon, Nov 27, 2000",7:30 PM,Los Angeles Lakers,98,Los Angeles Clippers,83,Box Score,,,,,,
"Mon, Nov 27, 2000",7:30 PM,Vancouver Grizzlies,72,New York Knicks,97,Box Score,,,,,,
"Mon, Nov 27, 2000",7:30 PM,Milwaukee Bucks,104,Orlando Magic,95,Box Score,,,,,,
"Tue, Nov 28, 2000",7:30 PM,Minnesota Timberwolves,96,Chicago Bulls,76,Box Score,,,,,,
"Tue, Nov 28, 2000",7:30 PM,Boston Celtics,87,Cleveland Cavaliers,72,Box Score,,,,,,
"Tue, Nov 28, 2000",7:00 PM,Toronto Raptors,93,Dallas Mavericks,107,Box Score,,,,,,
"Tue, Nov 28, 2000",7:30 PM,Sacramento Kings,88,Houston Rockets,81,Box Score,,,,,,
"Tue, Nov 28, 2000",7:30 PM,Indiana Pacers,107,Los Angeles Lakers,124,Box Score,,,,,,
"Tue, Nov 28, 2000",7:30 PM,Milwaukee Bucks,102,Miami Heat,101,Box Score,,,,,,
"Tue, Nov 28, 2000",7:30 PM,Utah Jazz,98,New Jersey Nets,92,Box Score,,,,,,
"Tue, Nov 28, 2000",7:00 PM,Seattle SuperSonics,105,Portland Trail Blazers,93,Box Score,,,,,,
"Tue, Nov 28, 2000",7:00 PM,Atlanta Hawks,102,Washington Wizards,75,Box Score,,,,,,
"Wed, Nov 29, 2000",7:30 PM,Toronto Raptors,79,Charlotte Hornets,103,Box Score,,,,,,
"Wed, Nov 29, 2000",7:30 PM,New Jersey Nets,76,Detroit Pistons,97,Box Score,,,,,,
"Wed, Nov 29, 2000",7:30 PM,Golden State Warriors,83,Los Angeles Clippers,106,Box Score,,,,,,
"Wed, Nov 29, 2000",7:00 PM,Denver Nuggets,107,Minnesota Timberwolves,100,Box Score,,,,,,
"Wed, Nov 29, 2000",8:00 PM,Miami Heat,84,New York Knicks,81,Box Score,,,,,,
